hostname: R1; mgmt_ip: 10.99.0.1; node_type: cisco_ios 
hostname: R2; mgmt_ip: 10.99.0.2; node_type: cisco_ios 
hostname: R3; mgmt_ip: 10.99.0.3; node_type: cisco_ios 
hostname: R4; mgmt_ip: 10.99.0.4; node_type: cisco_ios 
hostname: R5; mgmt_ip: 10.99.0.5; node_type: cisco_ios 
hostname: R6; mgmt_ip: 10.99.0.6; node_type: cisco_ios 
hostname: R7; mgmt_ip: 10.99.0.7; node_type: cisco_ios 
hostname: R8; mgmt_ip: 10.99.0.8; node_type: cisco_ios 
hostname: R9; mgmt_ip: 10.99.0.9; node_type: cisco_ios 
hostname: R10; mgmt_ip: 10.99.0.10; node_type: cisco_ios 
hostname: R11; mgmt_ip: 10.99.0.11; node_type: cisco_ios 
hostname: R12; mgmt_ip: 10.99.0.12; node_type: cisco_ios 
hostname: R13; mgmt_ip: 10.99.0.13; node_type: cisco_ios 
hostname: R14; mgmt_ip: 10.99.0.14; node_type: cisco_ios 
hostname: R15; mgmt_ip: 10.99.0.15; node_type: cisco_ios 
hostname: R16; mgmt_ip: 10.99.0.16; node_type: cisco_ios 
hostname: R17; mgmt_ip: 10.99.0.17; node_type: cisco_ios 
hostname: R18; mgmt_ip: 10.99.0.18; node_type: cisco_ios 
hostname: R19; mgmt_ip: 10.99.0.19; node_type: cisco_ios 
hostname: R20; mgmt_ip: 10.99.0.20; node_type: cisco_ios 
hostname: R21; mgmt_ip: 10.99.0.21; node_type: cisco_ios 
hostname: R22; mgmt_ip: 10.99.0.22; node_type: cisco_ios 
hostname: R23; mgmt_ip: 10.99.0.23; node_type: cisco_ios 
hostname: R24; mgmt_ip: 10.99.0.24; node_type: cisco_ios 
hostname: R25; mgmt_ip: 10.99.0.25; node_type: cisco_ios 
hostname: R26; mgmt_ip: 10.99.0.26; node_type: cisco_ios 
hostname: R27; mgmt_ip: 10.99.0.27; node_type: cisco_ios 
hostname: R28; mgmt_ip: 10.99.0.28; node_type: cisco_ios 
hostname: R29; mgmt_ip: 10.99.0.29; node_type: cisco_ios 
hostname: R30; mgmt_ip: 10.99.0.30; node_type: cisco_ios 
